TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
138,"Đối với tài sản là nhà ở hình thành trong tương lai mua của doanh nghiệp kinh doanh bất động sản trong dự án đầu tư xây dựng nhà ở, hồ sơ bắt buộc cần cung cấp là",Hợp đồng mua bán nhà ở ký với chủ đầu tư,Biên bản nghiệm thu nhà ở đã hoàn thành việc xây dựng phần móng hoặc Biên bản bàn giao nhà ở,Văn bản thông báo nhà ở đủ điều kiện để bán,Cả 3 đáp án trên,Không phương án nào đúng,B,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",Phụ lục 1 - II Hồ sơ pháp lý tài sản
139,Đối với tài sản là phương tiện vận tải thì hồ sơ tài sản bắt buộc phải cung cấp là,Giấy đăng ký xe,"Hợp đồng mua bán, hóa đơn",Giấy chứng nhận quyền sở hữu hợp pháp,Cả 3 đáp án trên,A&C,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV",Phụ lục 1 - II Hồ sơ pháp lý tài sản
140,Trường hợp ĐVĐGĐG gửi hồ sơ định giá theo quy định nhưng hồ sơ chưa đầy đủ theo quy định,CBKS trả về ĐVĐNDG trên chương trình,CBKS vẫn tiếp tục thực hiện khảo sát và chỉ gửi Thông báo kết quả khi ĐVĐNDG cung cấp đủ hồ sơ,CBKS yêu cầu ĐVĐNĐG thực hiện bổ sung hồ sơ còn thiếu và tiếp tục thực hiện khảo sát sau khi nhận đầy đủ hồ sơ,Không đáp án nào đúng,A&B,C,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục b"
141,Trường hợp CBKS chưa thể tiếp cận TSBĐ theo quy định,CBKS báo cáo cấp PDĐG nguyên nhân và biện pháp ứng xử phù hợp,CBKS trả hồ sơ về ĐVĐNĐG,CBKS lập biên bản KS tối đa theo hiện trạng tiếp cận được và bàn giao cho CBĐG,Không đáp án nào đúng,CBKS chờ đến khi tiếp cận được,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục c"
142,Trường hợp CBĐG và CBTĐ có ý kiến khác nhau về giá trị định giá,Thì giá trị định giá cuối cùng là giá trị mà CPDĐG quyết định ,Thì giá trị định giá cuối cùng là giá trị mà  Phó Giám đốc phụ trách TTĐGTS quyết định ,Thì giá trị định giá cuối cùng là giá trị mà Hội đồng thẩm định giá  quyết định ,Thì giá trị định giá cuối cùng là giá trị mà Giám đốc TTĐGTS quyết định ,Không phương án nào đúng,A,"Quy định số 9295/BIDV-QLRRTH ngày 24/12/2024 về trình tự, thủ tục, thẩm quyền định giá TSBĐ tại Trung tâm Định giá tài sản BIDV","Điều 4 - 4.1, mục f"
143,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS có hiệu lực từ ,10/01/2024,31/12/2025,01/01/2025,22/01/2025,31/10/2024,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 3 Ngày hiệu lực
144,"Phạm vi, đối tượng áp dụng của Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS","Là tài liệu tham khảo cho các đơn vị  trong quá trình định giá tài sản là bất động sản, không mang tính bắt buộc phải thực hiện","Là quy trình áp dụng cho các đơn vị  trong quá trình định giá tài sản là bất động sản, trường hợp có nội dung chưa thống nhất, các đơn vị báo cáo cấp có thẩm quyền",Là tài liệu tham khảo cho các đơn vị  trong quá trình định giá tài sản,Là quy trình áp dụng cho các đơn vị  trong quá trình định giá tài sản là bất động sản,Không phương án nào đúng,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,"Điều 2 - Phạm vi, đối tượng"
145,Cán bộ định giá có được thực hiện đồng thời cả nhiệm vụ khảo sát tài sản không?,"Không, 2 chức năng tách biệt độc lập","Có, CBĐG được giao cả 2 nhiệm vụ chủ động thực hiện nhiệm vụ của CBĐG và CBKS","Có, CBĐG có thể kiêm nhiệm cả 3 nhiệm vụ khảo sát, định giá, thẩm định",Không đáp án nào đúng,Tất cả các phương án trên,B,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 4 CBĐG
146,Giấy chứng nhận quyền sở hữu bất động sản là,Giấy chứng nhận quyền sử dụng đất,"Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất",Giấy chứng nhận quyền sở hữu nhà ở,Tất cả các phương án trên,Hợp đồng mua bán,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8 GCN
147,Kho giá của TTĐGTS được xây dựng từ các nguồn thông tin,Tài sản do các đơn vị trực thuộc BIDV định giá,Tài sản do các công ty thẩm định giá độc lập định giá,Thông tin rao bán trên thị trường do CBKS thu thập,Không đáp án nào đúng,Thông tin thu thập của batdongsan.com,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 10 GCN
148,Tài sản so sánh,Là tài sản có vị trí tương đồng với TSĐG,Là tài sản có mức giá trị tương đồng với TSĐG,Là tài sản giống hệt hoặc tài sản tương tự với TSĐG,Tất cả các phương án trên,,C,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 2
149,Cách tiếp cận từ chi phí thường được áp dụng khi,Không đủ thông tin thị trường để  áp dụng cách tiếp cận từ thị trường và cách tiếp cận từ thu nhập,Định giá mới công trình xây dựng,So sánh đối chiếu với cách tiếp cận khác,Không đáp án nào đúng,Tất cả các phương án trên,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 3
150,Phương pháp định giá,"Phương pháp thặng dư thường được áp dụng với BĐS có tiềm năng phát triển, cụ thể là đất trống để xây dựng hoặc đất có công trình trên đất có thể cải tạo hoặc phá dỡ xây dựng công trình mới trên đất để sử dụng tốt nhất và có hiệu quả nhất.","Phương pháp thu nhập thường được áp dụng để xác định giá trị của tài sản tạo ra thu nhập cho người sở hữu/người sử dụng, có thể dự báo được thu nhập từ tài sản trong tương lai","Phương pháp hệ số điều chỉnh giá đất thường được áp dụng để định giá với các trường hợp tài sản là nhiều thửa đất liền kề nhau, có cùng mục đích sử dụng và đã được quy định giá đất trong bảng giá đất mà không đủ điều kiện để áp dụng phương pháp so sánh",Không đáp án nào đúng,Tất cả các phương án trên,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 3
151,Các trường hợp TTĐGTS cần xem xét thuê định giá độc lập hoặc giám định tài sản?,"BĐS không thể thu thập thông tin chính xác về vị trí, ranh giới của BĐS","BĐS có tính chất phức tạp, việc định giá tại TTĐGTS đỏi hỏi cần thêm thiết bị đặc thù hoặc dữ liệu mà TTĐGTS chưa đáp ứng được","BDS là nhà ở/tài sản gắn liền với đất hình thành trong tương lai không đủ điều kiện khảo sát đầy đủ, chính xác hiện trạng TSĐG",A&B,Tất cả các phương án trên,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 6- Mục 2.1
152,Trường hợp hồ sơ TSĐG có địa chỉ khác biệt/chưa rõ ràng giữa hồ sơ pháp lý và khảo sát thực tế,TTĐG trả hồ sơ về để DVĐNĐG chủ động định giá theo quy định,Nếu có cơ sở nhận diện và đánh giá tài sản khảo sát thực tế phù hợp với thông tin tại hồ sơ pháp lý hoặc tọa độ thửa đất được ghi nhận trên GCN phù hợp với tọa độ thực tế: CBKS ghi nhận đầy đủ thông tin tại BBKS và bàn giao CBĐG để tiếp tục thực hiện định giá tài sản; CBĐG bổ sung thông tin khuyến nghị về địa chỉ tài sản,"Nếu không có cơ sở nhận diện và đánh giá tài sản khảo sát thực tế phù hợp với thông tin tại hồ sơ pháp lý: CBKS soạn Thư công tác, báo cáo Trưởng nhóm để trình Lãnh đạo Trung tâm gửi Chi nhánh yêu cầu khách hàng cung cấp hồ sơ xác nhận địa chỉ để TTĐGTS có cơ sở tiếp tục thực hiện vụ định giá",B&C,TTĐG chủ động đi xác minh tại cơ quan chức năng,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 6- Mục 2.2
153,Trường hợp trong ngày khảo sát thực tế mà Chi nhánh/Chủ tài sản vẫn chưa hoàn thiện được bản gốc Biên bản khảo sát,"CBKS gửi BBKS về Chi nhánh để cán bộ đầu mối tại Chi nhánh thực hiện ký BBKS với Chủ tài sản hoặc đại diện Chủ tài sản/bên được Chủ tài sản ủy quyền. CBKS đề nghị cán bộ đầu mối tại Chi nhánh ký BBKS để đảm bảo trách nhiệm trong việc xác minh người ký BBKS theo đúng quy định, gửi lại CBKS trong thời hạn không quá 03 ngày","CBKS tiếp tục bàn giao hồ sơ (gồm dự thảo BBKS) cho CBĐG để tiếp tục thực hiện định giá, TTĐGTS chỉ gửi thông báo kết quả cho DVĐNĐG khi bổ sung được bản gốc BBKS","CBKS gửi BBKS về Chi nhánh để cán bộ đầu mối tại Chi nhánh thực hiện ký BBKS với Chủ tài sản hoặc đại diện Chủ tài sản/bên được Chủ tài sản ủy quyền. CBKS đề nghị cán bộ đầu mối tại Chi nhánh ký BBKS để đảm bảo trách nhiệm trong việc xác minh người ký BBKS theo đúng quy định, gửi lại CBKS trong thời hạn không quá 03 ngày",CBKS thực hiện ngay việc soạn thư công tác tạm dừng định giá tài sản,CBKS chờ đến khi nhận được thì thực hiện tiếp,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 6- Mục 2.2
154,"Trường hợp Chủ tài sản hoặc đại diện Chủ tài sản/bên được Chủ tài sản ủy quyền không ký BBKS hoặc sau 3 ngày làm việc kể từ ngày hoàn thành việc khảo sát hiện trạng TSĐG mà vẫn chưa hoàn thành việc ký BBKS, CBKS thực hiện",Trao đổi với cán bộ Chi nhánh cụ thể lý do chưa hoàn thành BBKS,Hủy “Đề nghị định giá” (thực hiện thao tác “Từ chối định giá” ) trên Phần mềm hỗ trợ định giá B-Valuation,Báo cáo Trưởng nhóm để trình Lãnh đạo Trung tâm xem xét ký văn bản thông báo gửi Chi nhánh về việc TTĐGTS tạm dừng thực hiện vụ định giá,Tất cả các phương án trên,CBKS trao đổi với lãnh đạo chi nhánh để tìm hiểu lý do,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 6- Mục 2.2
155,Đối với các hồ sơ định giá mà TTĐGTS đã từ chối định giá (vì không nhận được bản giấy BBKS có đầy đủ chữ ký),"Ngay sau khi ĐVĐNĐG cung cấp BBKS có chữ ký đầy đủ, TTĐGTS thực hiện khảo sát lại thực tế tài sản theo quy định từ đầu",Chi nhánh hoàn thành BBKS có đầy đủ chữ ký và khởi tạo lại Đề nghị định giá nhưng không quá 90 ngày kể từ ngày đã khảo sát thực tế: TTĐGTS  tiếp tục thực hiện định giá mà không phải thực hiện lại bước khảo sát thực tế,"Ngay sau khi ĐVĐNĐG cung cấp BBKS có chữ ký đầy đủ, TTĐGTS tiếp tục thực hiện định giá tài sản mà không cần khảo sát lại thực tế tài sản",Chi nhánh hoàn thành BBKS có đầy đủ chữ ký và khởi tạo lại Đề nghị định giá nhưng không quá 60 ngày kể từ ngày đã khảo sát thực tế: TTĐGTS  tiếp tục thực hiện định giá mà không phải thực hiện lại bước khảo sát thực tế,Không tiếp nhận định giá lại tối thiểu trong vòng 90 ngày kể từ ngày trả về,B,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 6- Mục 2.2
156,Ứng xử của cán bộ TTĐGTS  trong quá trình thực hiện khảo sát,"Cẩn trọng trong quá trình cung cấp thông tin, chỉ được thông tin tới khách hàng về mức giá ước tính sơ bộ",Luôn đến đúng địa điểm đã hẹn với khách hàng,"Trang phục luôn sạch sẽ, gọn gàng, kín đáo, lịch sự",Mặc đồng phục BIDV trong suốt quá trình làm việc với khách hàng,Không trực tiếp làm việc với chủ tài sản,C,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 7- Mục 2
157,Về việc thông báo kết quả định giá dự kiến,Giá trị định giá chỉ được thông báo sau khi CTQ PDĐG phê duyệt kết quả định giá.,"Cán bộ các cấp (CBKS, CBĐG, CBTĐ) tuyệt đối không thông báo, trao đổi với Chi nhánh, Khách hàng hoặc bất kỳ bên nào khác liên quan đến giá trị định giá khi CTQ PDĐG chưa phê duyệt kết quả định giá",A&B,"Trường hợp Khách hàng cần gấp, CBĐG thông báo giá sơ bộ cho Chủ tài sản",Không phương án nào đúng,C,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 7- Mục 3
158,Về việc ứng xử khi tiếp nhận đồng thời nhiều hồ sơ,(1) Hồ sơ định giá mới; (2) Hồ sơ định giá lại theo Danh mục TSĐG hàng tháng;  (3) Hồ sơ định giá lại ngoài Danh mục TSĐG theo kế hoạch tháng,Hồ sơ nào ĐVĐNĐG gửi trước thì xử lý trước,(1) Hồ sơ định giá mới; (2) Hồ sơ định giá lại phát sinh đột xuất ngoài Danh mục TSĐG hàng tháng;  (3) Hồ sơ định giá lại theo Danh mục TSĐG hàng tháng,Không đáp án nào đúng,A&C,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 7- Mục 4
159,Xác định vị trí Tài sản khi khảo sát,"Trao đổi thông tin, chụp ảnh, quan sát và đối chiếu địa chỉ tài sản trên pháp lý và thực tế (số nhà, biển hiệu, cột mốc xác định,...)",Xác định vị trí tài sản theo tọa độ bản đồ trên Google maps,"Trường hợp TSĐG nằm trong các khu đô thị/khu đấu giá đã hoàn thành cơ sở hạ tầng, nhưng chưa xây nhà/nhà chưa đánh số/... CBKS đối chiếu với bản đồ tổng thể của khu đô thị/khu đấu giá để xác định",Tất cả các phương án trên,Không phương án nào đúng,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 1.1
160,Kiểm tra đặc điểm thửa đất thực tế và so sánh với đặc điểm trên hồ sơ pháp lý,"Mục đích sử dụng, thời hạn sử dụng và nguồn gốc tài sản","Kiểm tra diện tích, kích thước các cạnh, số mặt tiếp giáp, hình dạng thửa đất. Trong đó mặt tiếp giáp là các mặt tiếp giáp với đường/ngõ, xác định được đầy đủ các mặt tiếp giáp",A&B,"Kiểm tra hướng của TSĐG: đặt la bàn phía trước tài sản, quay vào thửa đất để kiểm tra hướng TSĐG",Không cần kiểm tra vì sổ đỏ đã ghi rõ,C,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 1.2
161,Kiểm tra dấu hiệu quy hoạch thông qua việc khảo sát thực địa,Đường trước mặt chưa cải tạo,Đường tiếp giáp đang thi công mở rộng đường,"Khu vực có cắm biển hiệu mô tả quy hoạch, mặt cắt mở rộng đường",Tất cả các phương án trên,Không phương án nào đúng,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 1.3
162,Dấu hiệu tranh chấp/yếu tố bất thường của tài sản,"Có người có dấu hiệu chiếm dụng tài sản, không đồng ý,  để CBKS khảo sát hiện trạng tài sản",Trên tài sản có người khác đang sử dụng,Tài sản sử dụng ngõ đi chung với thửa đất khác,Tất cả các phương án trên,A&C,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 1.6
163,Các phương pháp có thể áp dụng khi định giá TSĐG là BĐS thương mại,Phương pháp hệ số điều chỉnh giá đất,Phương pháp so sánh,Phương pháp thặng dư,A&B,Tất cả các phương án trên,B,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 11 Mục 1
164,Các phương pháp có thể áp dụng khi định giá TSĐG là BĐS Nhà ở ,Phương pháp thặng dư,Phương pháp hệ số điều chỉnh giá đất,Phương pháp chi phí thay thế,Phương pháp dòng tiền chiết khấu,A&B,C,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 11 Mục 1
165,Các phương pháp có thể áp dụng khi định giá TSĐG là BĐS Công nghiệp,Phương pháp dòng tiền chiết khấu,Phương pháp hệ số điều chỉnh giá đất,Phương pháp thặng dư,Tất cả các phương án trên,A&C,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 11 Mục 1
166,"Nhóm hình ảnh tổng quát về TSĐG với TSĐG là nhà ở, các CTXD đơn lẻ gắn liền với đất",Ảnh chụp vệ tinh thể hiện vị trí của tài sản trên Google maps.,"Ảnh chụp hình ảnh tòa nhà, có hình ảnh CBKS.
Ảnh chụp mặt trước căn hộ (thể hiện được vị trí tầng, số căn hộ)
","Ảnh chụp tổng quát tài sản, chi tiết hình ảnh phía trong TSĐG (bao gồm các tầng)",A&C,Tất cả các phương án trên,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 2.3
167,"Nhóm hình ảnh tổng quát về TSĐG với TSĐG là CHCC, sàn văn phòng","Ảnh chụp hình ảnh tòa nhà, có hình ảnh CBKS.
Ảnh chụp mặt trước căn hộ (thể hiện được vị trí tầng, số căn hộ)
",Ảnh chụp vệ tinh thể hiện vị trí của tài sản so sánh trên Google maps.,"Ảnh đường, mặt ngõ tiếp giáp các mặt TSĐG (theo thứ tự từ đường chính --> ngõ --> ngách --> TSĐG).
 Ảnh chụp cần thể hiện các điểm chỉ dẫn vào tài sản (ngõ/ngách).
","Ảnh chụp tổng quát tài sản, chi tiết hình ảnh phía trong TSĐG (bao gồm các tầng)",Tất cả các phương án trên,A,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 8- Mục 2.3
168,Nguồn thu thập thông tin phục vụ việc định giá,Dữ liệu từ Kho giá,"Thông tin thu thập trong quá trình khảo sát hiện trạng TSĐG; khảo sát, thu thập thông tin thị trường",Thông tin do chủ tài sản cung cấp,A&B,Không đáp án nào đúng,D,Cẩm nang hướng dẫn định giá số 17905/BIDV-TTĐGTS ngày 11/7/2025,Điều 9 Mục 1
